fපගියුසොනයිට්	faɡijusonajiʈ	NOUN	fergusonite
fපබේරයිට්	fabeːrajiʈ	?	ferberite
fපල්මිනේට්	falmineːʈ	VERB	fulminate
fප්ලාස්කුව	falaːskuva	NOUN	flask
fප්ලැක්ස්	falæks	NOUN	flax
fප්ලින්ට්	falinʈ	NOUN	flint
fප්ලුවොරයිඩ්	faluvorajiɖ	NOUN	fluoride
fප්ලුවොරැපටයිට්	faluvoræpaʈajiʈ	NOUN	fluorapatite
fප්ලුවොරීන්	faluvoriːn	NOUN	fluorine
fප්ලුවොරීනීකරණය	faluvoriːniːkaraɳaja	?	fluorination
fප්ලුවොරේට්	faluvoreːʈ	?	fluorate
fප්ලුවොරොක්‍රෝම්	faluvorok‍roːm	NOUN	fluorochrome
fප්ලුවොස්පාර්	faluvospaːr	NOUN	fluorspar
fප්ලුවොසිලිකේට්	faluvosilikeːʈ	NOUN	fluosilicate
fප්ලුවොසෙරයිට්	faluvoserajiʈ	?	fluocerite
fප්ලොස්ටන්	falosʈan	NOUN	phlogiston
fප්‍රැන්කයිට්	fa‍rænkajiʈ	?	franckeite
fප්‍රැන්ක්ලිනයිට්	fa‍rænklinajiʈ	?	franklinite
fප්‍රැන්කොලයිට්	fa‍rænkolajiʈ	?	francolite
fප්‍රැන්සියම්	fa‍rænsijam	NOUN	francium
fප්‍රොයිඩ්වාදය	fa‍rojiɖvaːdaja	?	freudism
fප්‍රොයිඩියානු	fa‍rojiɖijaːnu	NOUN	freudian
fපැකොමීටරය	faækomiːʈaraja	?	phacometer
fපැරඩීකරණය	faæraɖiːkaraɳaja	?	faradization
fපිලට්ටුව	failaʈʈuva	NOUN	fillet
fපිලරය	failaraja	NOUN	filler
fපිල්ටරය	failʈaraja	VERB	filter
fපිල්ට්‍රොස්	failʈ‍ros	?	filtros
fපීනොලික	faiːnolika	NOUN	phenolic
fපෙයාන්ස්	faejaːns	NOUN	faience
fපෙරයිට්	faerajiʈ	NOUN	ferrite
fපෙරිසයනයිඩ්	faerisajanajiɖ	NOUN	ferricyanide
fපෙරේට්	faereːʈ	?	ferrate
fපෙරෝඇමෝනියම්	faeroːæmoːnijam	?	ferroammonium
fපෙරෝඇලුමිනියම්	faeroːæluminijam	?	ferroaluminium
fපෙරෝක්‍රෝම්	faeroːk‍roːm	?	ferrochrome
fපෙරෝටංස්ටන්	faeroːʈaŋsʈan	?	ferrotungsten
fපෙරෝටයිටේනියම්	faeroːʈajiʈeːnijam	?	ferrotitanium
fපෙරෝමැංගනික්	faeroːmæŋɡanik	?	ferromanganic
fපෙරෝමැංගනීස්	faeroːmæŋɡaniːs	?	ferromanganese
fපෙරෝවැනේඩියම්	faeroːvæneːɖijam	?	ferrovanadium
fපෙරෝසයනයිඩ්	faeroːsajanajiɖ	NOUN	ferrocyanide
fපෙරෝසිලයිට්	faeroːsilajiʈ	?	ferrosilite
fපෙල්ස්පාර්	faelspaːr	NOUN	felspar
fපේඩරය	faeːɖaraja	?	fader
fපෛබි‍්‍රන්	faaibi‍‍ran	NOUN	fibrin
fපෛබි‍්‍රන්ජාරණය	faaibi‍‍rand͡ʒaːraɳaja	NOUN	fibrinolysis
